Drug	Indication	drug_name	drug_id	ind_name	ind_id	sem_type	TrialStatus	status	phase	DetailedStatus
"<a href=""http://www.drugbank.ca/drugs/DB00056"" target=""_blank"">Gemtuzumab ozogamicin (DBID: DB00056)</a>"	Leukemia, Myelocytic, Acute (CUI: C0023467)	Gemtuzumab ozogamicin	DB00056	Leukemia, Myelocytic, Acute	C0023467	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00059"" target=""_blank"">Pegaspargase (DBID: DB00059)</a>"	Acute lymphocytic leukemia (CUI: C0023449)	Pegaspargase	DB00059	Acute lymphocytic leukemia	C0023449	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00060"" target=""_blank"">Interferon beta-1a (DBID: DB00060)</a>"	Multiple Sclerosis, Relapsing-Remitting (CUI: C0751967)	Interferon beta-1a	DB00060	Multiple Sclerosis, Relapsing-Remitting	C0751967	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00063"" target=""_blank"">Eptifibatide (DBID: DB00063)</a>"	Acute Coronary Syndrome (CUI: C0948089)	Eptifibatide	DB00063	Acute Coronary Syndrome	C0948089	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00065"" target=""_blank"">Infliximab (DBID: DB00065)</a>"	Crohn Disease (CUI: C0010346)	Infliximab	DB00065	Crohn Disease	C0010346	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00065"" target=""_blank"">Infliximab (DBID: DB00065)</a>"	Ulcerative Colitis (CUI: C0009324)	Infliximab	DB00065	Ulcerative Colitis	C0009324	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00065"" target=""_blank"">Infliximab (DBID: DB00065)</a>"	Rheumatoid Arthritis (CUI: C0003873)	Infliximab	DB00065	Rheumatoid Arthritis	C0003873	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00065"" target=""_blank"">Infliximab (DBID: DB00065)</a>"	Ankylosing spondylitis (CUI: C0038013)	Infliximab	DB00065	Ankylosing spondylitis	C0038013	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00065"" target=""_blank"">Infliximab (DBID: DB00065)</a>"	Arthritis, Psoriatic (CUI: C0003872)	Infliximab	DB00065	Arthritis, Psoriatic	C0003872	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00065"" target=""_blank"">Infliximab (DBID: DB00065)</a>"	Chronic small plaque psoriasis (CUI: C0406317)	Infliximab	DB00065	Chronic small plaque psoriasis	C0406317	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00067"" target=""_blank"">Vasopressin (DBID: DB00067)</a>"	Bedwetting (CUI: C0270327)	Vasopressin	DB00067	Bedwetting	C0270327	Mental or Behavioral Dysfunction	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00067"" target=""_blank"">Vasopressin (DBID: DB00067)</a>"	von Willebrand Disease (CUI: C0042974)	Vasopressin	DB00067	von Willebrand Disease	C0042974	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00067"" target=""_blank"">Vasopressin (DBID: DB00067)</a>"	Hemophilia A (CUI: C0019069)	Vasopressin	DB00067	Hemophilia A	C0019069	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00068"" target=""_blank"">Interferon beta-1b (DBID: DB00068)</a>"	Multiple Sclerosis, Relapsing-Remitting (CUI: C0751967)	Interferon beta-1b	DB00068	Multiple Sclerosis, Relapsing-Remitting	C0751967	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00072"" target=""_blank"">Trastuzumab (DBID: DB00072)</a>"	HER2-positive carcinoma of breast (CUI: C1960398)	Trastuzumab	DB00072	HER2-positive carcinoma of breast	C1960398	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00072"" target=""_blank"">Trastuzumab (DBID: DB00072)</a>"	Secondary malignant neoplasm of female breast (CUI: C0346993)	Trastuzumab	DB00072	Secondary malignant neoplasm of female breast	C0346993	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00072"" target=""_blank"">Trastuzumab (DBID: DB00072)</a>"	Secondary malignant neoplasm of stomach (CUI: C0686068)	Trastuzumab	DB00072	Secondary malignant neoplasm of stomach	C0686068	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00073"" target=""_blank"">Rituximab (DBID: DB00073)</a>"	Lymphoma, Non-Hodgkin (CUI: C0024305)	Rituximab	DB00073	Lymphoma, Non-Hodgkin	C0024305	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00073"" target=""_blank"">Rituximab (DBID: DB00073)</a>"	Chronic Lymphocytic Leukemia (CUI: C0023434)	Rituximab	DB00073	Chronic Lymphocytic Leukemia	C0023434	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00073"" target=""_blank"">Rituximab (DBID: DB00073)</a>"	Rheumatoid Arthritis (CUI: C0003873)	Rituximab	DB00073	Rheumatoid Arthritis	C0003873	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00074"" target=""_blank"">Basiliximab (DBID: DB00074)</a>"	Renal transplant rejection (CUI: C0238217)	Basiliximab	DB00074	Renal transplant rejection	C0238217	Pathologic Function	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00078"" target=""_blank"">Ibritumomab tiuxetan (DBID: DB00078)</a>"	Lymphoma, Follicular (CUI: C0024301)	Ibritumomab tiuxetan	DB00078	Lymphoma, Follicular	C0024301	Neoplastic Process	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00080"" target=""_blank"">Daptomycin (DBID: DB00080)</a>"	Right-sided Staphylococcus aureus endocarditis (CUI: C1960924)	Daptomycin	DB00080	Right-sided Staphylococcus aureus endocarditis	C1960924	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00080"" target=""_blank"">Daptomycin (DBID: DB00080)</a>"	Sepsis due to Staphylococcus aureus (CUI: C2887088)	Daptomycin	DB00080	Sepsis due to Staphylococcus aureus	C2887088	Disease or Syndrome	Approved	Approved		
"<a href=""http://www.drugbank.ca/drugs/DB00082"" target=""_blank"">Pegvisomant (DBID: DB00082)</a>"	Acromegaly (CUI: C0001206)	Pegvisomant	DB00082	Acromegaly	C0001206	Disease or Syndrome	Approved	Approved		
