compound_entity	drugbank_id	drug_name	relation	disease_entity	umls_cui	disease_name	sem_type	label	num_raw_rows
Compound::DB02703	DB02703	Fusidic Acid	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB09096	DB09096	Benzoyl peroxide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB09353	DB09353	Sulfur	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001144	C0001144	Acne Vulgaris	Disease or Syndrome	approved	1
Compound::DB00082	DB00082	Pegvisomant	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001206	C0001206	Acromegaly	Disease or Syndrome	approved	1
Compound::DB00104	DB00104	Octreotide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001206	C0001206	Acromegaly	Disease or Syndrome	approved	1
Compound::DB00589	DB00589	Lisuride	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001206	C0001206	Acromegaly	Disease or Syndrome	approved	1
Compound::DB01200	DB01200	Bromocriptine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001206	C0001206	Acromegaly	Disease or Syndrome	approved	1
Compound::DB06791	DB06791	Lanreotide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001206	C0001206	Acromegaly	Disease or Syndrome	approved	1
Compound::DB06791	DB06791	Lanreotide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001207	C0001207	Hypersomatotropic gigantism	Disease or Syndrome	approved	1
Compound::DB00254	DB00254	Doxycycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB00595	DB00595	Oxytetracycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB00618	DB00618	Demeclocycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB00681	DB00681	Amphotericin B	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB00759	DB00759	Tetracycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB01017	DB01017	Minocycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB01053	DB01053	Benzylpenicillin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB02703	DB02703	Fusidic Acid	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001261	C0001261	Actinomycosis	Disease or Syndrome	approved	1
Compound::DB01053	DB01053	Benzylpenicillin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001263	C0001263	Abdominal actinomycosis	Disease or Syndrome	approved	1
Compound::DB01053	DB01053	Benzylpenicillin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001264	C0001264	Cervicofacial actinomycosis	Disease or Syndrome	approved	1
Compound::DB00443	DB00443	Betamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB00620	DB00620	Triamcinolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB00635	DB00635	Prednisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB00687	DB00687	Fludrocortisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB00741	DB00741	Hydrocortisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB00860	DB00860	Prednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB00959	DB00959	Methylprednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB01234	DB01234	Dexamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB01380	DB01380	Cortisone acetate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001403	C0001403	Addison Disease	Disease or Syndrome	approved	1
Compound::DB01026	DB01026	Ketoconazole	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001622	C0001622	Adrenal Gland Hyperfunction	Disease or Syndrome	approved	1
Compound::DB01108	DB01108	Trilostane	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001622	C0001622	Adrenal Gland Hyperfunction	Disease or Syndrome	approved	1
Compound::DB06663	DB06663	Pasireotide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001622	C0001622	Adrenal Gland Hyperfunction	Disease or Syndrome	approved	1
Compound::DB00443	DB00443	Betamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001627	C0001627	Congenital adrenal hyperplasia	Congenital Abnormality	approved	1
Compound::DB00620	DB00620	Triamcinolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001627	C0001627	Congenital adrenal hyperplasia	Congenital Abnormality	approved	1
Compound::DB00860	DB00860	Prednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001627	C0001627	Congenital adrenal hyperplasia	Congenital Abnormality	approved	1
Compound::DB00959	DB00959	Methylprednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001627	C0001627	Congenital adrenal hyperplasia	Congenital Abnormality	approved	1
Compound::DB01380	DB01380	Cortisone acetate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001627	C0001627	Congenital adrenal hyperplasia	Congenital Abnormality	approved	1
Compound::DB00475	DB00475	Chlordiazepoxide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001957	C0001957	Alcohol Withdrawal Delirium	Disease or Syndrome	approved	1
Compound::DB00829	DB00829	Diazepam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001957	C0001957	Alcohol Withdrawal Delirium	Disease or Syndrome	approved	1
Compound::DB00842	DB00842	Oxazepam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001957	C0001957	Alcohol Withdrawal Delirium	Disease or Syndrome	approved	1
Compound::DB00659	DB00659	Acamprosate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001973	C0001973	Alcoholic Intoxication, Chronic	Mental or Behavioral Dysfunction	approved	1
Compound::DB00704	DB00704	Naltrexone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001973	C0001973	Alcoholic Intoxication, Chronic	Mental or Behavioral Dysfunction	approved	1
Compound::DB00822	DB00822	Disulfiram	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0001973	C0001973	Alcoholic Intoxication, Chronic	Mental or Behavioral Dysfunction	approved	1
Compound::DB00350	DB00350	Minoxidil	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002170	C0002170	Alopecia	Disease or Syndrome	approved	1
Compound::DB00620	DB00620	Triamcinolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002171	C0002171	Alopecia Areata	Disease or Syndrome	approved	1
Compound::DB00819	DB00819	Acetazolamide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002351	C0002351	Altitude Sickness	Disease or Syndrome	approved	1
Compound::DB00860	DB00860	Prednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002390	C0002390	Extrinsic allergic alveolitis	Disease or Syndrome	approved	1
Compound::DB00674	DB00674	Galantamine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002395	C0002395	Alzheimer's Disease	Disease or Syndrome	approved	1
Compound::DB00843	DB00843	Donepezil	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002395	C0002395	Alzheimer's Disease	Disease or Syndrome	approved	1
Compound::DB00989	DB00989	Rivastigmine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002395	C0002395	Alzheimer's Disease	Disease or Syndrome	approved	1
Compound::DB00634	DB00634	Sulfacetamide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002438	C0002438	Amebiasis	Disease or Syndrome	approved	1
Compound::DB08792	DB08792	Diloxanide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002438	C0002438	Amebiasis	Disease or Syndrome	approved	1
Compound::DB09115	DB09115	Diiodohydroxyquinoline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002438	C0002438	Amebiasis	Disease or Syndrome	approved	1
Compound::DB01421	DB01421	Paromomycin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002440	C0002440	Chronic intestinal amebiasis	Disease or Syndrome	approved	1
Compound::DB00589	DB00589	Lisuride	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002453	C0002453	Amenorrhea	Disease or Syndrome	approved	1
Compound::DB00644	DB00644	Gonadorelin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002453	C0002453	Amenorrhea	Disease or Syndrome	approved	1
Compound::DB00151	DB00151	L-Cysteine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002726	C0002726	Amyloidosis	Disease or Syndrome	approved	1
Compound::DB06151	DB06151	Acetylcysteine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002726	C0002726	Amyloidosis	Disease or Syndrome	approved	1
Compound::DB09485	DB09485	Cysteine hydrochloride	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002726	C0002726	Amyloidosis	Disease or Syndrome	approved	1
Compound::DB00740	DB00740	Riluzole	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002736	C0002736	Amyotrophic Lateral Sclerosis	Disease or Syndrome	approved	1
Compound::DB00668	DB00668	Epinephrine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002792	C0002792	anaphylaxis	Pathologic Function	approved	1
Compound::DB00858	DB00858	Drostanolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002874	C0002874	Aplastic Anemia	Disease or Syndrome	approved	1
Compound::DB06412	DB06412	Oxymetholone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002874	C0002874	Aplastic Anemia	Disease or Syndrome	approved	1
Compound::DB00443	DB00443	Betamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB00620	DB00620	Triamcinolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB00635	DB00635	Prednisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB00741	DB00741	Hydrocortisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB00860	DB00860	Prednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB00959	DB00959	Methylprednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB01234	DB01234	Dexamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB01380	DB01380	Cortisone acetate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002875	C0002875	Cooley's anemia	Disease or Syndrome	approved	1
Compound::DB00443	DB00443	Betamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB00620	DB00620	Triamcinolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB00635	DB00635	Prednisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB00741	DB00741	Hydrocortisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB00860	DB00860	Prednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB00959	DB00959	Methylprednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB01234	DB01234	Dexamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB01380	DB01380	Cortisone acetate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002880	C0002880	Autoimmune hemolytic anemia	Disease or Syndrome	approved	1
Compound::DB00650	DB00650	Leucovorin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002888	C0002888	Anemia, Megaloblastic	Disease or Syndrome	approved	1
Compound::DB11596	DB11596	Levoleucovorin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002888	C0002888	Anemia, Megaloblastic	Disease or Syndrome	approved	1
Compound::DB00115	DB00115	Cyanocobalamin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002892	C0002892	Anemia, Pernicious	Disease or Syndrome	approved	1
Compound::DB00152	DB00152	Thiamine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002892	C0002892	Anemia, Pernicious	Disease or Syndrome	approved	1
Compound::DB00200	DB00200	Hydroxocobalamin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002892	C0002892	Anemia, Pernicious	Disease or Syndrome	approved	1
Compound::DB01005	DB01005	Hydroxyurea	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002895	C0002895	Anemia, Sickle Cell	Disease or Syndrome	approved	1
Compound::DB00243	DB00243	Ranolazine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00264	DB00264	Metoprolol	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00335	DB00335	Atenolol	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00343	DB00343	Diltiazem	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00381	DB00381	Amlodipine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00571	DB00571	Propranolol	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00661	DB00661	Verapamil	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00883	DB00883	Isosorbide Dinitrate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB01020	DB01020	Isosorbide Mononitrate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB01076	DB01076	Atorvastatin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB01115	DB01115	Nifedipine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB01203	DB01203	Nadolol	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB01244	DB01244	Bepridil	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002962	C0002962	Angina Pectoris	Finding	approved	1
Compound::DB00343	DB00343	Diltiazem	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002963	C0002963	Angina Pectoris, Variant	Disease or Syndrome	approved	1
Compound::DB00381	DB00381	Amlodipine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002963	C0002963	Angina Pectoris, Variant	Disease or Syndrome	approved	1
Compound::DB00661	DB00661	Verapamil	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002963	C0002963	Angina Pectoris, Variant	Disease or Syndrome	approved	1
Compound::DB01076	DB01076	Atorvastatin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002963	C0002963	Angina Pectoris, Variant	Disease or Syndrome	approved	1
Compound::DB01115	DB01115	Nifedipine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002963	C0002963	Angina Pectoris, Variant	Disease or Syndrome	approved	1
Compound::DB00103	DB00103	Agalsidase beta	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002986	C0002986	Fabry Disease	Disease or Syndrome	approved	1
Compound::DB00420	DB00420	Promazine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00443	DB00443	Betamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00620	DB00620	Triamcinolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00635	DB00635	Prednisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00741	DB00741	Hydrocortisone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00860	DB00860	Prednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00902	DB00902	Methdilazine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00959	DB00959	Methylprednisolone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB01234	DB01234	Dexamethasone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB01246	DB01246	Alimemazine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB01380	DB01380	Cortisone acetate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0002994	C0002994	Angioedema	Pathologic Function	approved	1
Compound::DB00254	DB00254	Doxycycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB00537	DB00537	Ciprofloxacin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB01053	DB01053	Benzylpenicillin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB01059	DB01059	Norfloxacin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB01137	DB01137	Levofloxacin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB01165	DB01165	Ofloxacin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB02703	DB02703	Fusidic Acid	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB09320	DB09320	Procaine benzylpenicillin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003175	C0003175	Anthrax disease	Disease or Syndrome	approved	1
Compound::DB00254	DB00254	Doxycycline	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003177	C0003177	Cutaneous anthrax	Disease or Syndrome	approved	1
Compound::DB01053	DB01053	Benzylpenicillin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003177	C0003177	Cutaneous anthrax	Disease or Syndrome	approved	1
Compound::DB02703	DB02703	Fusidic Acid	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003177	C0003177	Cutaneous anthrax	Disease or Syndrome	approved	1
Compound::DB00186	DB00186	Lorazepam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00371	DB00371	Meprobamate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00404	DB00404	Alprazolam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00475	DB00475	Chlordiazepoxide	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00628	DB00628	Clorazepate	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00683	DB00683	Midazolam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00801	DB00801	Halazepam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00829	DB00829	Diazepam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00831	DB00831	Trifluoperazine	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00842	DB00842	Oxazepam	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB00849	DB00849	Methylphenobarbital	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB01142	DB01142	Doxepin	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
Compound::DB01178	DB01178	Chlormezanone	repoDB::approved_indication::Compound:Disease	Disease::UMLS:C0003467	C0003467	Anxiety	Mental or Behavioral Dysfunction	approved	1
