raw_row_index	drug_name	drugbank_id	compound_entity	disease_name	umls_cui	disease_entity	sem_type	status_raw	trial_status_raw	detailed_status_raw	phase_raw	label	relation	is_positive	is_failed_like	valid_drugbank_and_cui	source_dataset	setting
11	Etanercept	DB00005	Compound::DB00005	Ankylosing spondylitis	C0038013	Disease::UMLS:C0038013	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
12	Etanercept	DB00005	Compound::DB00005	Chronic small plaque psoriasis	C0406317	Disease::UMLS:C0406317	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
13	Leuprolide	DB00007	Compound::DB00007	Precocious Puberty	C0034013	Disease::UMLS:C0034013	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
14	Leuprolide	DB00007	Compound::DB00007	Endometriosis	C0014175	Disease::UMLS:C0014175	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
15	Peginterferon alfa-2a	DB00008	Compound::DB00008	Hepatitis C, Chronic	C0524910	Disease::UMLS:C0524910	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
16	Peginterferon alfa-2a	DB00008	Compound::DB00008	Hepatitis B, Chronic	C0524909	Disease::UMLS:C0524909	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
17	Alteplase	DB00009	Compound::DB00009	Ischemic stroke	C0948008	Disease::UMLS:C0948008	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
18	Alteplase	DB00009	Compound::DB00009	Acute myocardial infarction	C0155626	Disease::UMLS:C0155626	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
19	Alteplase	DB00009	Compound::DB00009	Pulmonary Embolism	C0034065	Disease::UMLS:C0034065	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
20	Sermorelin	DB00010	Compound::DB00010	Pituitary dwarfism	C0013338	Disease::UMLS:C0013338	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
21	Urokinase	DB00013	Compound::DB00013	Pulmonary Embolism	C0034065	Disease::UMLS:C0034065	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
22	Goserelin	DB00014	Compound::DB00014	Hormone receptor positive malignant neoplasm of breast	C1562029	Disease::UMLS:C1562029	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
23	Goserelin	DB00014	Compound::DB00014	Endometriosis	C0014175	Disease::UMLS:C0014175	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
24	Reteplase	DB00015	Compound::DB00015	Acute myocardial infarction	C0155626	Disease::UMLS:C0155626	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
25	Erythropoietin	DB00016	Compound::DB00016	Anemia in chronic kidney disease	C1561828	Disease::UMLS:C1561828	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
26	Erythropoietin	DB00016	Compound::DB00016	Anemia due to chemotherapy	C1998329	Disease::UMLS:C1998329	Injury or Poisoning	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
27	Salmon Calcitonin	DB00017	Compound::DB00017	Osteoporosis, Postmenopausal	C0029458	Disease::UMLS:C0029458	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
28	Salmon Calcitonin	DB00017	Compound::DB00017	Osteitis Deformans	C0029401	Disease::UMLS:C0029401	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
29	Pegfilgrastim	DB00019	Compound::DB00019	Chemotherapy-induced neutropenia	C1827687	Disease::UMLS:C1827687	Pathologic Function	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
30	Sargramostim	DB00020	Compound::DB00020	Chemotherapy-induced neutropenia	C1827687	Disease::UMLS:C1827687	Pathologic Function	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
31	Peginterferon alfa-2b	DB00022	Compound::DB00022	Hepatitis C, Chronic	C0524910	Disease::UMLS:C0524910	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
32	Asparaginase	DB00023	Compound::DB00023	Acute lymphocytic leukemia	C0023449	Disease::UMLS:C0023449	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
33	Anakinra	DB00026	Compound::DB00026	Rheumatoid Arthritis	C0003873	Disease::UMLS:C0003873	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
34	Anakinra	DB00026	Compound::DB00026	Cryopyrin-Associated Periodic Syndromes	C2316212	Disease::UMLS:C2316212	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
35	Anakinra	DB00026	Compound::DB00026	Chronic Infantile Neurological, Cutaneous, and Articular Syndrome	C0409818	Disease::UMLS:C0409818	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
36	Gramicidin D	DB00027	Compound::DB00027	Bacterial conjunctivitis	C0009768	Disease::UMLS:C0009768	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
37	Gramicidin D	DB00027	Compound::DB00027	Infective blepharitis	C0729587	Disease::UMLS:C0729587	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
38	Gramicidin D	DB00027	Compound::DB00027	Blepharoconjunctivitis	C0005743	Disease::UMLS:C0005743	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
39	Gramicidin D	DB00027	Compound::DB00027	Bacterial keratitis	C0854211	Disease::UMLS:C0854211	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
40	Insulin Human	DB00030	Compound::DB00030	Diabetes Mellitus, Insulin-Dependent	C0011854	Disease::UMLS:C0011854	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
41	Insulin Human	DB00030	Compound::DB00030	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	Disease::UMLS:C0011860	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
42	Insulin Human	DB00030	Compound::DB00030	Diabetes Mellitus	C0011849	Disease::UMLS:C0011849	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
43	Tenecteplase	DB00031	Compound::DB00031	Acute myocardial infarction	C0155626	Disease::UMLS:C0155626	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
44	Desmopressin	DB00035	Compound::DB00035	Hemophilia A	C0019069	Disease::UMLS:C0019069	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
45	Desmopressin	DB00035	Compound::DB00035	von Willebrand Disease	C0042974	Disease::UMLS:C0042974	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
46	Desmopressin	DB00035	Compound::DB00035	Bedwetting	C0270327	Disease::UMLS:C0270327	Mental or Behavioral Dysfunction	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
47	Coagulation factor VIIa Recombinant Human	DB00036	Compound::DB00036	Hemophilia A	C0019069	Disease::UMLS:C0019069	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
48	Coagulation factor VIIa Recombinant Human	DB00036	Compound::DB00036	Hemophilia B	C0008533	Disease::UMLS:C0008533	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
49	Coagulation factor VIIa Recombinant Human	DB00036	Compound::DB00036	Thrombasthenia	C0040015	Disease::UMLS:C0040015	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
50	Coagulation factor VIIa Recombinant Human	DB00036	Compound::DB00036	Factor VII Deficiency	C0015503	Disease::UMLS:C0015503	Congenital Abnormality	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
51	Oprelvekin	DB00038	Compound::DB00038	Thrombocytopenia	C0040034	Disease::UMLS:C0040034	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
52	Palifermin	DB00039	Compound::DB00039	Mucositis following radiation therapy	C0392190	Disease::UMLS:C0392190	Pathologic Function	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
53	Palifermin	DB00039	Compound::DB00039	Drug-induced mucositis	C1274988	Disease::UMLS:C1274988	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
54	Glucagon recombinant	DB00040	Compound::DB00040	Hypoglycemia	C0020615	Disease::UMLS:C0020615	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
55	Aldesleukin	DB00041	Compound::DB00041	Leukemia, Myelocytic, Acute	C0023467	Disease::UMLS:C0023467	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
56	Aldesleukin	DB00041	Compound::DB00041	Metastatic Renal Cell Cancer	C0278678	Disease::UMLS:C0278678	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
57	Aldesleukin	DB00041	Compound::DB00041	Malignant melanoma, metastatic	C0860594	Disease::UMLS:C0860594	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
58	Omalizumab	DB00043	Compound::DB00043	Asthma	C0004096	Disease::UMLS:C0004096	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
59	Omalizumab	DB00043	Compound::DB00043	Chronic idiopathic urticaria	C0578870	Disease::UMLS:C0578870	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
60	Insulin Lispro	DB00046	Compound::DB00046	Diabetes Mellitus, Insulin-Dependent	C0011854	Disease::UMLS:C0011854	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
61	Insulin Lispro	DB00046	Compound::DB00046	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	Disease::UMLS:C0011860	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
62	Insulin Glargine	DB00047	Compound::DB00047	Diabetes Mellitus, Insulin-Dependent	C0011854	Disease::UMLS:C0011854	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
63	Insulin Glargine	DB00047	Compound::DB00047	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	Disease::UMLS:C0011860	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
64	Collagenase clostridium histolyticum	DB00048	Compound::DB00048	Dupuytren's disease of finger, with contracture	C0410065	Disease::UMLS:C0410065	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
65	Collagenase clostridium histolyticum	DB00048	Compound::DB00048	Peyronie Disease	C0030848	Disease::UMLS:C0030848	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
66	Rasburicase	DB00049	Compound::DB00049	Hyperuricemia	C0740394	Disease::UMLS:C0740394	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
67	Adalimumab	DB00051	Compound::DB00051	Rheumatoid Arthritis	C0003873	Disease::UMLS:C0003873	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
68	Adalimumab	DB00051	Compound::DB00051	Juvenile arthritis	C3495559	Disease::UMLS:C3495559	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
69	Adalimumab	DB00051	Compound::DB00051	Arthritis, Psoriatic	C0003872	Disease::UMLS:C0003872	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
70	Adalimumab	DB00051	Compound::DB00051	Ankylosing spondylitis	C0038013	Disease::UMLS:C0038013	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
71	Adalimumab	DB00051	Compound::DB00051	Crohn Disease	C0010346	Disease::UMLS:C0010346	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
72	Adalimumab	DB00051	Compound::DB00051	Ulcerative Colitis	C0009324	Disease::UMLS:C0009324	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
73	Adalimumab	DB00051	Compound::DB00051	Chronic small plaque psoriasis	C0406317	Disease::UMLS:C0406317	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
74	Adalimumab	DB00051	Compound::DB00051	Hidradenitis Suppurativa	C0162836	Disease::UMLS:C0162836	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
75	Somatropin recombinant	DB00052	Compound::DB00052	Growth retardation	C0151686	Disease::UMLS:C0151686	Pathologic Function	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
76	Somatropin recombinant	DB00052	Compound::DB00052	Prader-Willi Syndrome	C0032897	Disease::UMLS:C0032897	Congenital Abnormality	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
77	Somatropin recombinant	DB00052	Compound::DB00052	Pituitary dwarfism	C0013338	Disease::UMLS:C0013338	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
78	Somatropin recombinant	DB00052	Compound::DB00052	Turner Syndrome	C0041408	Disease::UMLS:C0041408	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
79	Imiglucerase	DB00053	Compound::DB00053	Gaucher Disease	C0017205	Disease::UMLS:C0017205	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
80	Gemtuzumab ozogamicin	DB00056	Compound::DB00056	Leukemia, Myelocytic, Acute	C0023467	Disease::UMLS:C0023467	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
81	Pegaspargase	DB00059	Compound::DB00059	Acute lymphocytic leukemia	C0023449	Disease::UMLS:C0023449	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
82	Interferon beta-1a	DB00060	Compound::DB00060	Multiple Sclerosis, Relapsing-Remitting	C0751967	Disease::UMLS:C0751967	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
83	Eptifibatide	DB00063	Compound::DB00063	Acute Coronary Syndrome	C0948089	Disease::UMLS:C0948089	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
84	Infliximab	DB00065	Compound::DB00065	Crohn Disease	C0010346	Disease::UMLS:C0010346	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
85	Infliximab	DB00065	Compound::DB00065	Ulcerative Colitis	C0009324	Disease::UMLS:C0009324	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
86	Infliximab	DB00065	Compound::DB00065	Rheumatoid Arthritis	C0003873	Disease::UMLS:C0003873	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
87	Infliximab	DB00065	Compound::DB00065	Ankylosing spondylitis	C0038013	Disease::UMLS:C0038013	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
88	Infliximab	DB00065	Compound::DB00065	Arthritis, Psoriatic	C0003872	Disease::UMLS:C0003872	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
89	Infliximab	DB00065	Compound::DB00065	Chronic small plaque psoriasis	C0406317	Disease::UMLS:C0406317	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
90	Vasopressin	DB00067	Compound::DB00067	Bedwetting	C0270327	Disease::UMLS:C0270327	Mental or Behavioral Dysfunction	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
91	Vasopressin	DB00067	Compound::DB00067	von Willebrand Disease	C0042974	Disease::UMLS:C0042974	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
92	Vasopressin	DB00067	Compound::DB00067	Hemophilia A	C0019069	Disease::UMLS:C0019069	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
93	Interferon beta-1b	DB00068	Compound::DB00068	Multiple Sclerosis, Relapsing-Remitting	C0751967	Disease::UMLS:C0751967	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
94	Trastuzumab	DB00072	Compound::DB00072	HER2-positive carcinoma of breast	C1960398	Disease::UMLS:C1960398	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
95	Trastuzumab	DB00072	Compound::DB00072	Secondary malignant neoplasm of female breast	C0346993	Disease::UMLS:C0346993	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
96	Trastuzumab	DB00072	Compound::DB00072	Secondary malignant neoplasm of stomach	C0686068	Disease::UMLS:C0686068	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
97	Rituximab	DB00073	Compound::DB00073	Lymphoma, Non-Hodgkin	C0024305	Disease::UMLS:C0024305	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
98	Rituximab	DB00073	Compound::DB00073	Chronic Lymphocytic Leukemia	C0023434	Disease::UMLS:C0023434	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
99	Rituximab	DB00073	Compound::DB00073	Rheumatoid Arthritis	C0003873	Disease::UMLS:C0003873	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
100	Basiliximab	DB00074	Compound::DB00074	Renal transplant rejection	C0238217	Disease::UMLS:C0238217	Pathologic Function	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
101	Ibritumomab tiuxetan	DB00078	Compound::DB00078	Lymphoma, Follicular	C0024301	Disease::UMLS:C0024301	Neoplastic Process	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
102	Daptomycin	DB00080	Compound::DB00080	Right-sided Staphylococcus aureus endocarditis	C1960924	Disease::UMLS:C1960924	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
103	Daptomycin	DB00080	Compound::DB00080	Sepsis due to Staphylococcus aureus	C2887088	Disease::UMLS:C2887088	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
104	Pegvisomant	DB00082	Compound::DB00082	Acromegaly	C0001206	Disease::UMLS:C0001206	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
105	Pancrelipase	DB00085	Compound::DB00085	Exocrine pancreatic insufficiency	C0267963	Disease::UMLS:C0267963	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
106	Alemtuzumab	DB00087	Compound::DB00087	Multiple Sclerosis, Relapsing-Remitting	C0751967	Disease::UMLS:C0751967	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
107	Alglucerase	DB00088	Compound::DB00088	Gaucher Disease, Type 1	C1961835	Disease::UMLS:C1961835	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
108	Laronidase	DB00090	Compound::DB00090	Mucopolysaccharidosis I	C0023786	Disease::UMLS:C0023786	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
109	Cyclosporine	DB00091	Compound::DB00091	Rheumatoid Arthritis	C0003873	Disease::UMLS:C0003873	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
110	Cyclosporine	DB00091	Compound::DB00091	Dry Eye Syndromes	C0013238	Disease::UMLS:C0013238	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
111	Cyclosporine	DB00091	Compound::DB00091	Keratoconjunctivitis Sicca	C0022575	Disease::UMLS:C0022575	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
112	Alefacept	DB00092	Compound::DB00092	Chronic small plaque psoriasis	C0406317	Disease::UMLS:C0406317	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
113	Efalizumab	DB00095	Compound::DB00095	Chronic small plaque psoriasis	C0406317	Disease::UMLS:C0406317	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
114	Filgrastim	DB00099	Compound::DB00099	Chemotherapy-induced neutropenia	C1827687	Disease::UMLS:C1827687	Pathologic Function	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
115	Filgrastim	DB00099	Compound::DB00099	Congenital neutropenia	C0340970	Disease::UMLS:C0340970	Congenital Abnormality	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
116	Filgrastim	DB00099	Compound::DB00099	Cyclic neutropenia	C0221023	Disease::UMLS:C0221023	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
117	Filgrastim	DB00099	Compound::DB00099	Chronic idiopathic neutropenia	C2267231	Disease::UMLS:C2267231	Disease or Syndrome	Approved	Approved			approved	repoDB::approved_indication::Compound:Disease	True	False	True	repoDB	setting_f_repodb
