head	relation	tail
Guanabenz	indication	hypertensive disorder
Guanabenz	indication	hypertension
Reserpine	indication	hypertensive disorder
Reserpine	indication	hypertension
Isotretinoin	indication	hypertensive disorder
Isotretinoin	indication	hypertension
Diltiazem	indication	hypertensive disorder
Diltiazem	indication	hypertension
Nadolol	indication	hypertensive disorder
Nadolol	indication	hypertension
Clonidine	indication	hypertensive disorder
Clonidine	indication	hypertension
Guanadrel	indication	hypertensive disorder
Guanadrel	indication	hypertension
Tienilic acid	indication	hypertensive disorder
Tienilic acid	indication	hypertension
Endralazine	indication	hypertensive disorder
Triamterene	indication	hypertensive disorder
Triamterene	indication	hypertension
Penbutolol	indication	hypertensive disorder
Penbutolol	indication	hypertension
Minoxidil	indication	hypertension
Acebutolol	indication	hypertensive disorder
Acebutolol	indication	hypertension
Labetalol	indication	hypertensive disorder
Labetalol	indication	hypertension
Trimazosin	indication	hypertensive disorder
Trimazosin	indication	hypertension
Polythiazide	indication	hypertensive disorder
Polythiazide	indication	hypertension
Paclitaxel	indication	hypertension
Atenolol	indication	hypertensive disorder
Atenolol	indication	hypertension
Guanfacine	indication	hypertensive disorder
Guanfacine	indication	hypertension
Timolol	indication	hypertensive disorder
Timolol	indication	hypertension
Indapamide	indication	hypertensive disorder
Fimasartan	indication	hypertensive disorder
Fimasartan	indication	hypertension
Nifedipine	indication	hypertensive disorder
Nifedipine	indication	hypertension
Prazosin	indication	hypertensive disorder
Prazosin	indication	hypertension
Epitizide	indication	hypertensive disorder
Epitizide	indication	hypertension
Metolazone	indication	hypertensive disorder
Metolazone	indication	hypertension
Aliskiren	indication	hypertensive disorder
Clevidipine	indication	hypertensive disorder
Clevidipine	indication	hypertension
Tasosartan	indication	hypertensive disorder
Tasosartan	indication	hypertension
Bupranolol	indication	hypertensive disorder
Bupranolol	indication	hypertension
Candesartan cilexetil	indication	hypertensive disorder
Candesartan cilexetil	indication	hypertension
Telmisartan	indication	hypertension
Xipamide	indication	hypertensive disorder
Xipamide	indication	hypertension
Irbesartan	indication	hypertensive disorder
Valsartan	indication	hypertensive disorder
Valsartan	indication	hypertension
Pindolol	indication	hypertensive disorder
Hydroflumethiazide	indication	hypertensive disorder
Hydroflumethiazide	indication	hypertension
Methyclothiazide	indication	hypertensive disorder
Methyclothiazide	indication	hypertension
Eprosartan	indication	hypertensive disorder
Eprosartan	indication	hypertension
Trichlormethiazide	indication	hypertensive disorder
Trichlormethiazide	indication	hypertension
Azelnidipine	indication	hypertensive disorder
Nebivolol	indication	hypertensive disorder
Nebivolol	indication	hypertension
Mibefradil	indication	hypertensive disorder
Mibefradil	indication	hypertension
Losartan	indication	hypertension
Temocapril	indication	hypertensive disorder
Efonidipine	indication	hypertension
Meticrane	indication	hypertensive disorder
Meticrane	indication	hypertension
Eplerenone	indication	hypertensive disorder
Eplerenone	indication	hypertension
Moexipril	indication	hypertensive disorder
Moexipril	indication	hypertension
Lercanidipine	indication	hypertensive disorder
Lercanidipine	indication	hypertension
Ropinirole	indication	restless legs syndrome
Gabapentin	indication	restless legs syndrome
Gabapentin enacarbil	indication	restless legs syndrome
Pramipexole	indication	restless legs syndrome
Rotigotine	indication	Parkinson disease
Rotigotine	indication	parkinsonian-pyramidal syndrome
Rotigotine	indication	early-onset parkinsonism-intellectual disability syndrome
Rotigotine	indication	juvenile onset Parkinson disease 19A
Rotigotine	indication	hemiparkinsonism-hemiatrophy syndrome
Rotigotine	indication	atypical juvenile parkinsonism
Rotigotine	indication	hereditary late onset Parkinson disease
Opicapone	indication	Parkinson disease
Opicapone	indication	parkinsonian-pyramidal syndrome
Opicapone	indication	X-linked parkinsonism-spasticity syndrome
Opicapone	indication	juvenile onset Parkinson disease 19A
Opicapone	indication	hemiparkinsonism-hemiatrophy syndrome
Opicapone	indication	atypical juvenile parkinsonism
Opicapone	indication	hereditary late onset Parkinson disease
Ropinirole	indication	Parkinson disease
Ropinirole	indication	parkinsonian-pyramidal syndrome
Ropinirole	indication	X-linked parkinsonism-spasticity syndrome
Ropinirole	indication	juvenile onset Parkinson disease 19A
Ropinirole	indication	hemiparkinsonism-hemiatrophy syndrome
Ropinirole	indication	atypical juvenile parkinsonism
Benzatropine	indication	Parkinson disease
Benzatropine	indication	parkinsonian-pyramidal syndrome
Benzatropine	indication	X-linked parkinsonism-spasticity syndrome
Benzatropine	indication	early-onset parkinsonism-intellectual disability syndrome
Benzatropine	indication	juvenile onset Parkinson disease 19A
Benzatropine	indication	atypical juvenile parkinsonism
Benzatropine	indication	hereditary late onset Parkinson disease
Cycrimine	indication	Parkinson disease
Cycrimine	indication	parkinsonian-pyramidal syndrome
Cycrimine	indication	X-linked parkinsonism-spasticity syndrome
Cycrimine	indication	early-onset parkinsonism-intellectual disability syndrome
Cycrimine	indication	juvenile onset Parkinson disease 19A
Cycrimine	indication	hemiparkinsonism-hemiatrophy syndrome
Cycrimine	indication	atypical juvenile parkinsonism
Cycrimine	indication	hereditary late onset Parkinson disease
Procyclidine	indication	Parkinson disease
Procyclidine	indication	X-linked parkinsonism-spasticity syndrome
Procyclidine	indication	early-onset parkinsonism-intellectual disability syndrome
Procyclidine	indication	juvenile onset Parkinson disease 19A
Procyclidine	indication	hemiparkinsonism-hemiatrophy syndrome
Procyclidine	indication	atypical juvenile parkinsonism
Procyclidine	indication	hereditary late onset Parkinson disease
Amantadine	indication	Parkinson disease
Amantadine	indication	parkinsonian-pyramidal syndrome
Amantadine	indication	X-linked parkinsonism-spasticity syndrome
Amantadine	indication	early-onset parkinsonism-intellectual disability syndrome
Amantadine	indication	juvenile onset Parkinson disease 19A
Amantadine	indication	hemiparkinsonism-hemiatrophy syndrome
Amantadine	indication	atypical juvenile parkinsonism
Amantadine	indication	hereditary late onset Parkinson disease
Pimavanserin	indication	Parkinson disease
Pimavanserin	indication	parkinsonian-pyramidal syndrome
Pimavanserin	indication	X-linked parkinsonism-spasticity syndrome
Pimavanserin	indication	juvenile onset Parkinson disease 19A
Pimavanserin	indication	hemiparkinsonism-hemiatrophy syndrome
Pimavanserin	indication	atypical juvenile parkinsonism
Pimavanserin	indication	hereditary late onset Parkinson disease
Levodopa	indication	Parkinson disease
Levodopa	indication	parkinsonian-pyramidal syndrome
Levodopa	indication	X-linked parkinsonism-spasticity syndrome
Levodopa	indication	early-onset parkinsonism-intellectual disability syndrome
Levodopa	indication	hemiparkinsonism-hemiatrophy syndrome
Levodopa	indication	atypical juvenile parkinsonism
Apomorphine	indication	Parkinson disease
Apomorphine	indication	parkinsonian-pyramidal syndrome
Apomorphine	indication	X-linked parkinsonism-spasticity syndrome
Apomorphine	indication	early-onset parkinsonism-intellectual disability syndrome
Apomorphine	indication	juvenile onset Parkinson disease 19A
Apomorphine	indication	hemiparkinsonism-hemiatrophy syndrome
Apomorphine	indication	atypical juvenile parkinsonism
Apomorphine	indication	hereditary late onset Parkinson disease
Biperiden	indication	Parkinson disease
Biperiden	indication	parkinsonian-pyramidal syndrome
Biperiden	indication	X-linked parkinsonism-spasticity syndrome
Biperiden	indication	early-onset parkinsonism-intellectual disability syndrome
Biperiden	indication	atypical juvenile parkinsonism
Biperiden	indication	hereditary late onset Parkinson disease
Carbidopa	indication	Parkinson disease
Carbidopa	indication	parkinsonian-pyramidal syndrome
Carbidopa	indication	X-linked parkinsonism-spasticity syndrome
Carbidopa	indication	early-onset parkinsonism-intellectual disability syndrome
Carbidopa	indication	juvenile onset Parkinson disease 19A
Carbidopa	indication	hemiparkinsonism-hemiatrophy syndrome
Carbidopa	indication	atypical juvenile parkinsonism
Carbidopa	indication	hereditary late onset Parkinson disease
Bromocriptine	indication	Parkinson disease
Bromocriptine	indication	parkinsonian-pyramidal syndrome
Bromocriptine	indication	X-linked parkinsonism-spasticity syndrome
Bromocriptine	indication	early-onset parkinsonism-intellectual disability syndrome
Bromocriptine	indication	juvenile onset Parkinson disease 19A
Bromocriptine	indication	hemiparkinsonism-hemiatrophy syndrome
Bromocriptine	indication	atypical juvenile parkinsonism
Bromocriptine	indication	hereditary late onset Parkinson disease
Droxidopa	indication	Parkinson disease
Droxidopa	indication	parkinsonian-pyramidal syndrome
Droxidopa	indication	X-linked parkinsonism-spasticity syndrome
Droxidopa	indication	early-onset parkinsonism-intellectual disability syndrome
Droxidopa	indication	juvenile onset Parkinson disease 19A
Droxidopa	indication	hereditary late onset Parkinson disease
Istradefylline	indication	Parkinson disease
Istradefylline	indication	parkinsonian-pyramidal syndrome
Istradefylline	indication	X-linked parkinsonism-spasticity syndrome
Istradefylline	indication	early-onset parkinsonism-intellectual disability syndrome
Istradefylline	indication	juvenile onset Parkinson disease 19A
Istradefylline	indication	hemiparkinsonism-hemiatrophy syndrome
Istradefylline	indication	atypical juvenile parkinsonism
Istradefylline	indication	hereditary late onset Parkinson disease
Selegiline	indication	Parkinson disease
Selegiline	indication	parkinsonian-pyramidal syndrome
Selegiline	indication	X-linked parkinsonism-spasticity syndrome
Selegiline	indication	early-onset parkinsonism-intellectual disability syndrome
Selegiline	indication	juvenile onset Parkinson disease 19A
Selegiline	indication	hemiparkinsonism-hemiatrophy syndrome
Selegiline	indication	atypical juvenile parkinsonism
Selegiline	indication	hereditary late onset Parkinson disease
Trihexyphenidyl	indication	Parkinson disease
Trihexyphenidyl	indication	parkinsonian-pyramidal syndrome
Trihexyphenidyl	indication	X-linked parkinsonism-spasticity syndrome
Trihexyphenidyl	indication	early-onset parkinsonism-intellectual disability syndrome
Trihexyphenidyl	indication	juvenile onset Parkinson disease 19A
Trihexyphenidyl	indication	hemiparkinsonism-hemiatrophy syndrome
Trihexyphenidyl	indication	atypical juvenile parkinsonism
Trihexyphenidyl	indication	hereditary late onset Parkinson disease
Rasagiline	indication	Parkinson disease
Rasagiline	indication	parkinsonian-pyramidal syndrome
Rasagiline	indication	X-linked parkinsonism-spasticity syndrome
Rasagiline	indication	early-onset parkinsonism-intellectual disability syndrome
Rasagiline	indication	juvenile onset Parkinson disease 19A
Rasagiline	indication	hemiparkinsonism-hemiatrophy syndrome
Rasagiline	indication	atypical juvenile parkinsonism
Rasagiline	indication	hereditary late onset Parkinson disease
Tolcapone	indication	Parkinson disease
Tolcapone	indication	parkinsonian-pyramidal syndrome
Tolcapone	indication	X-linked parkinsonism-spasticity syndrome
Tolcapone	indication	early-onset parkinsonism-intellectual disability syndrome
Tolcapone	indication	juvenile onset Parkinson disease 19A
Tolcapone	indication	hemiparkinsonism-hemiatrophy syndrome
Tolcapone	indication	atypical juvenile parkinsonism
Tolcapone	indication	hereditary late onset Parkinson disease
Safinamide	indication	Parkinson disease
Safinamide	indication	parkinsonian-pyramidal syndrome
Safinamide	indication	X-linked parkinsonism-spasticity syndrome
Safinamide	indication	early-onset parkinsonism-intellectual disability syndrome
Safinamide	indication	juvenile onset Parkinson disease 19A
Safinamide	indication	hemiparkinsonism-hemiatrophy syndrome
Safinamide	indication	atypical juvenile parkinsonism
Safinamide	indication	hereditary late onset Parkinson disease
Entacapone	indication	Parkinson disease
Entacapone	indication	parkinsonian-pyramidal syndrome
Entacapone	indication	X-linked parkinsonism-spasticity syndrome
Entacapone	indication	early-onset parkinsonism-intellectual disability syndrome
Entacapone	indication	hemiparkinsonism-hemiatrophy syndrome
Entacapone	indication	atypical juvenile parkinsonism
Entacapone	indication	hereditary late onset Parkinson disease
Pramipexole	indication	Parkinson disease
Pramipexole	indication	parkinsonian-pyramidal syndrome
Pramipexole	indication	X-linked parkinsonism-spasticity syndrome
Pramipexole	indication	early-onset parkinsonism-intellectual disability syndrome
Pramipexole	indication	juvenile onset Parkinson disease 19A
Pramipexole	indication	hemiparkinsonism-hemiatrophy syndrome
Pramipexole	indication	atypical juvenile parkinsonism
Pramipexole	indication	hereditary late onset Parkinson disease
Midodrine	indication	multiple system atrophy
Midodrine	indication	postural orthostatic tachycardia syndrome
Midodrine	indication	orthostatic hypotension
Droxidopa	indication	orthostatic hypotension
Valproic acid	indication	epilepsy
Fosphenytoin	indication	epilepsy
Phensuximide	indication	epilepsy
Lamotrigine	indication	epilepsy
Methsuximide	indication	epilepsy
Thiopental	indication	epilepsy
Pentobarbital	indication	epilepsy
Secobarbital	indication	epilepsy
Phenacemide	indication	epilepsy
Amobarbital	indication	epilepsy
Ethadione	indication	epilepsy
Mephenytoin	indication	epilepsy
Metharbital	indication	epilepsy
Phenobarbital	indication	epilepsy
Diazepam	indication	epilepsy
Neocitrullamon	indication	epilepsy
Carbamazepine	indication	epilepsy
Felbamate	indication	epilepsy
Primidone	indication	epilepsy
Paramethadione	indication	epilepsy
Methylphenobarbital	indication	epilepsy
Benzatropine	indication	focal hand dystonia
Benzatropine	indication	blepharospasm
Procyclidine	indication	basal ganglia disease
Procyclidine	indication	focal hand dystonia
Amantadine	indication	basal ganglia disease
Amantadine	indication	focal hand dystonia
Amantadine	indication	blepharospasm
Biperiden	indication	basal ganglia disease
Biperiden	indication	focal hand dystonia
Biperiden	indication	blepharospasm
Trihexyphenidyl	indication	basal ganglia disease
Trihexyphenidyl	indication	focal hand dystonia
Trihexyphenidyl	indication	blepharospasm
Temazepam	indication	insomnia (disease)
Zolpidem	indication	insomnia (disease)
Methylpentynol	indication	insomnia (disease)
Carbromal	indication	insomnia (disease)
Butobarbital	indication	insomnia (disease)
Glutethimide	indication	insomnia (disease)
Aprobarbital	indication	insomnia (disease)
Pentobarbital	indication	insomnia (disease)
Secobarbital	indication	insomnia (disease)
Choline	indication	insomnia (disease)
Loprazolam	indication	insomnia (disease)
Diphenhydramine	indication	insomnia (disease)
Barbital	indication	insomnia (disease)
Amobarbital	indication	insomnia (disease)
Clomethiazole	indication	insomnia (disease)
Metharbital	indication	insomnia (disease)
Zopiclone	indication	insomnia (disease)
Doxefazepam	indication	insomnia (disease)
Quazepam	indication	insomnia (disease)
Chloral hydrate	indication	insomnia (disease)
Triazolam	indication	insomnia (disease)
Flurazepam	indication	insomnia (disease)
Doxepin	indication	insomnia (disease)
Nitrazepam	indication	insomnia (disease)
Eszopiclone	indication	insomnia (disease)
Lemborexant	indication	insomnia (disease)
Aceprometazine	indication	insomnia (disease)
Ethinamate	indication	insomnia (disease)
Methyprylon	indication	insomnia (disease)
Butabarbital	indication	insomnia (disease)
Talbutal	indication	insomnia (disease)
Ethchlorvynol	indication	insomnia (disease)
Suvorexant	indication	insomnia (disease)
Sertaconazole	indication	tinea pedis
Benzocaine	indication	tinea pedis
Terbinafine	indication	tinea pedis
Haloprogin	indication	tinea pedis
Salicylic acid	indication	tinea pedis
Naftifine	indication	tinea pedis
Ketoconazole	indication	tinea pedis
Oxiconazole	indication	tinea pedis
Hydrocortisone	indication	tinea pedis
Cortisone acetate	indication	tinea pedis
Ciclopirox	indication	tinea pedis
Econazole	indication	tinea pedis
Tolnaftate	indication	tinea pedis
Clotrimazole	indication	tinea pedis
Miconazole	indication	tinea pedis
Luliconazole	indication	tinea pedis
Pramocaine	indication	tinea pedis
Zinc oxide	indication	tinea pedis
Clioquinol	indication	tinea pedis
Griseofulvin	indication	tinea pedis
Undecylenic acid	indication	tinea pedis
Butenafine	indication	tinea pedis
Oxitropium	indication	chronic obstructive pulmonary disease
Oxitropium	indication	COPD, severe early onset
Olodaterol	indication	COPD, severe early onset
Revefenacin	indication	chronic obstructive pulmonary disease
Arformoterol	indication	COPD, severe early onset
Ipratropium	indication	chronic obstructive pulmonary disease
Ipratropium	indication	COPD, severe early onset
Vilanterol	indication	chronic obstructive pulmonary disease
Vilanterol	indication	COPD, severe early onset
Almitrine	indication	chronic obstructive pulmonary disease
Almitrine	indication	COPD, severe early onset
Neltenexine	indication	bronchitis
Vilanterol	indication	bronchitis
Dyphylline	indication	bronchitis
Vonoprazan	indication	gastric ulcer (disease)
Anisotropine methylbromide	indication	gastric ulcer (disease)
Roxatidine acetate	indication	gastric ulcer (disease)
Nizatidine	indication	gastric ulcer (disease)
Famotidine	indication	gastric ulcer (disease)
Omeprazole	indication	gastric ulcer (disease)
Ranitidine	indication	gastric ulcer (disease)
Sofalcone	indication	gastric ulcer (disease)
Tridihexethyl	indication	gastric ulcer (disease)
Methantheline	indication	gastric ulcer (disease)
Chlorbenzoxamine	indication	gastric ulcer (disease)
Cimetidine	indication	gastric ulcer (disease)
Troxipide	indication	gastric ulcer (disease)
Mepenzolate	indication	gastric ulcer (disease)
Aluminum hydroxide	indication	gastric ulcer (disease)
Lansoprazole	indication	gastric ulcer (disease)
Imiquimod	indication	common wart
Imiquimod	indication	epidermodysplasia verruciformis
Imiquimod	indication	anogenital human papillomavirus infection
Trioxsalen	indication	photoparoxysmal response
Trioxsalen	indication	photosensitivity disease
Interferon alfa-2b	indication	anogenital human papillomavirus infection
Interferon alfa-2b	indication	common wart
Trichloroacetate	indication	anogenital human papillomavirus infection
Trichloroacetate	indication	common wart
Podofilox	indication	anogenital human papillomavirus infection
Podofilox	indication	common wart
Cianidanol	indication	anogenital human papillomavirus infection
Cianidanol	indication	common wart
Benzoin	indication	anogenital human papillomavirus infection
Benzoin	indication	common wart
Methylprednisolone	indication	autoimmune disease
Prednisolone	indication	autoimmune disease
Hydrocortisone	indication	autoimmune disease
Cortisone acetate	indication	autoimmune disease
Hydrocortisone acetate	indication	autoimmune disease
Betamethasone	indication	autoimmune disease
Triamcinolone	indication	autoimmune disease
Imiquimod	indication	superficial multifocal basal cell carcinoma
Imiquimod	indication	actinic keratosis (disease)
Imiquimod	indication	keratoacanthoma
Imiquimod	indication	skin disease
Imiquimod	indication	actinic cheilitis
Imiquimod	indication	inverted follicular keratosis
Imiquimod	indication	melanoacanthoma
Ingenol mebutate	indication	actinic keratosis (disease)
Ingenol mebutate	indication	keratoacanthoma
Ingenol mebutate	indication	skin disease
Ingenol mebutate	indication	seborrheic keratosis
Ingenol mebutate	indication	actinic cheilitis
Ingenol mebutate	indication	inverted follicular keratosis
Ingenol mebutate	indication	melanoacanthoma
Fluorouracil	indication	actinic keratosis (disease)
Fluorouracil	indication	keratoacanthoma
Fluorouracil	indication	skin disease
Fluorouracil	indication	seborrheic keratosis
Fluorouracil	indication	actinic cheilitis
Fluorouracil	indication	inverted follicular keratosis
Fluorouracil	indication	melanoacanthoma
Masoprocol	indication	actinic keratosis (disease)
Masoprocol	indication	keratoacanthoma
Masoprocol	indication	skin disease
Masoprocol	indication	seborrheic keratosis
Masoprocol	indication	actinic cheilitis
Masoprocol	indication	inverted follicular keratosis
Masoprocol	indication	melanoacanthoma
Diclofenac	indication	actinic keratosis (disease)
Diclofenac	indication	seborrheic keratosis
Diclofenac	indication	actinic cheilitis
Diclofenac	indication	melanoacanthoma
Aminolevulinic acid	indication	actinic keratosis (disease)
Aminolevulinic acid	indication	keratoacanthoma
Aminolevulinic acid	indication	skin disease
Aminolevulinic acid	indication	seborrheic keratosis
Aminolevulinic acid	indication	actinic cheilitis
Aminolevulinic acid	indication	inverted follicular keratosis
Aminolevulinic acid	indication	melanoacanthoma
Sertraline	indication	anxiety disorder
Sertraline	indication	neurotic disorder
Sertraline	indication	dysthymic disorder
Trimipramine	indication	anxiety disorder
Trimipramine	indication	neurotic disorder
Trimipramine	indication	dysthymic disorder
Nortriptyline	indication	anxiety disorder
Nortriptyline	indication	neurotic disorder
Nortriptyline	indication	dysthymic disorder
Moclobemide	indication	anxiety disorder
Moclobemide	indication	neurotic disorder
Moclobemide	indication	dysthymic disorder
Mebanazine	indication	neurotic disorder
Paroxetine	indication	neurotic disorder
Paroxetine	indication	dysthymic disorder
Pirlindole	indication	anxiety disorder
Pirlindole	indication	neurotic disorder
Pirlindole	indication	dysthymic disorder
Citalopram	indication	anxiety disorder
Citalopram	indication	neurotic disorder
Citalopram	indication	dysthymic disorder
Amineptine	indication	anxiety disorder
Amineptine	indication	neurotic disorder
Amineptine	indication	dysthymic disorder
Setiptiline	indication	anxiety disorder
Setiptiline	indication	neurotic disorder
Setiptiline	indication	dysthymic disorder
Fluoxetine	indication	anxiety disorder
Fluoxetine	indication	neurotic disorder
Fluoxetine	indication	dysthymic disorder
Iproniazid	indication	anxiety disorder
Iproniazid	indication	neurotic disorder
Iproniazid	indication	dysthymic disorder
Phenelzine	indication	neurotic disorder
Phenelzine	indication	dysthymic disorder
Imipramine	indication	anxiety disorder
Imipramine	indication	neurotic disorder
Imipramine	indication	dysthymic disorder
Amitriptyline	indication	anxiety disorder
Amitriptyline	indication	neurotic disorder
Amitriptyline	indication	dysthymic disorder
Desipramine	indication	anxiety disorder
Desipramine	indication	neurotic disorder
Desipramine	indication	dysthymic disorder
Protriptyline	indication	anxiety disorder
Protriptyline	indication	neurotic disorder
Protriptyline	indication	dysthymic disorder
Butriptyline	indication	anxiety disorder
Butriptyline	indication	neurotic disorder
Butriptyline	indication	dysthymic disorder
Iproclozide	indication	anxiety disorder
Iproclozide	indication	dysthymic disorder
Bupropion	indication	anxiety disorder
Bupropion	indication	neurotic disorder
Bupropion	indication	dysthymic disorder
Esketamine	indication	anxiety disorder
Esketamine	indication	neurotic disorder
Esketamine	indication	dysthymic disorder
Opipramol	indication	anxiety disorder
Opipramol	indication	neurotic disorder
Opipramol	indication	dysthymic disorder
Toloxatone	indication	anxiety disorder
Toloxatone	indication	neurotic disorder
Toloxatone	indication	dysthymic disorder
Ethyl loflazepate	indication	anxiety disorder
Ethyl loflazepate	indication	neurotic disorder
Ethyl loflazepate	indication	dysthymic disorder
Demexiptiline	indication	anxiety disorder
Demexiptiline	indication	neurotic disorder
Lofepramine	indication	anxiety disorder
Lofepramine	indication	neurotic disorder
Lofepramine	indication	dysthymic disorder
Caroxazone	indication	anxiety disorder
Caroxazone	indication	neurotic disorder
Caroxazone	indication	dysthymic disorder
Doxepin	indication	anxiety disorder
Doxepin	indication	neurotic disorder
Doxepin	indication	dysthymic disorder
Amoxapine	indication	anxiety disorder
Amoxapine	indication	neurotic disorder
Amoxapine	indication	dysthymic disorder
Maprotiline	indication	anxiety disorder
Maprotiline	indication	neurotic disorder
Maprotiline	indication	dysthymic disorder
Topiramate	indication	epilepsy with generalized tonic-clonic seizures
Ethotoin	indication	epilepsy with generalized tonic-clonic seizures
Phenytoin	indication	epilepsy with generalized tonic-clonic seizures
Metharbital	indication	epilepsy with generalized tonic-clonic seizures
Phenobarbital	indication	epilepsy with generalized tonic-clonic seizures
Primidone	indication	epilepsy with generalized tonic-clonic seizures
Methylphenobarbital	indication	epilepsy with generalized tonic-clonic seizures
Phenylbutyric acid	indication	carbamoyl phosphate synthetase I deficiency disease
Fluoxetine	indication	bipolar disorder
Lurasidone	indication	bipolar disorder
Doxepin	indication	bipolar disorder
Olanzapine	indication	bipolar disorder
Quetiapine	indication	bipolar disorder
Lithium citrate	indication	major affective disorder
Lithium carbonate	indication	bipolar disorder
Loxapine	indication	bipolar disorder
Loxapine	indication	major affective disorder
Valproic acid	indication	manic bipolar affective disorder
Lithium citrate	indication	manic bipolar affective disorder
Cariprazine	indication	manic bipolar affective disorder
Promazine	indication	manic bipolar affective disorder
Lithium carbonate	indication	manic bipolar affective disorder
Chlorpromazine	indication	manic bipolar affective disorder
Carbamazepine	indication	manic bipolar affective disorder
Ziprasidone	indication	manic bipolar affective disorder
Olanzapine	indication	manic bipolar affective disorder
Aripiprazole	indication	manic bipolar affective disorder
Quetiapine	indication	manic bipolar affective disorder
Risperidone	indication	manic bipolar affective disorder
Phenylbutyric acid	indication	citrullinemia
Topiramate	indication	partial epilepsy
Lamotrigine	indication	partial epilepsy
Phenytoin	indication	partial epilepsy
Phenobarbital	indication	partial epilepsy
Carbamazepine	indication	partial epilepsy
Oxcarbazepine	indication	partial epilepsy
Felbamate	indication	partial epilepsy
Tiagabine	indication	partial epilepsy
Levetiracetam	indication	partial epilepsy
Avatrombopag	indication	thrombocytopenia
Oprelvekin	indication	thrombocytopenia
Lusutrombopag	indication	thrombocytopenia
Lorazepam	indication	early myoclonic encephalopathy
Stiripentol	indication	early myoclonic encephalopathy
Clonazepam	indication	early myoclonic encephalopathy
Nitrazepam	indication	early myoclonic encephalopathy
Valproic acid	indication	absence epilepsy
Phensuximide	indication	absence epilepsy
Lorazepam	indication	absence epilepsy
Ethosuximide	indication	absence epilepsy
Methsuximide	indication	absence epilepsy
Acetazolamide	indication	absence epilepsy
Ethadione	indication	absence epilepsy
Clonazepam	indication	absence epilepsy
Trimethadione	indication	absence epilepsy
Paramethadione	indication	absence epilepsy
Cariprazine	indication	bipolar disorder
Asenapine	indication	bipolar disorder
Ziprasidone	indication	bipolar disorder
Risperidone	indication	bipolar disorder
Benzoyl peroxide	indication	exanthem (disease)
Mometasone furoate	indication	exanthem (disease)
Fluticasone propionate	indication	exanthem (disease)
Prednicarbate	indication	exanthem (disease)
Desonide	indication	exanthem (disease)
