drug	disease	relation	source_scope	conflict_flag
Benzatropine	hypertension	contraindication	overlap_with_setting_a	0
Raloxifene	hypertensive disorder	contraindication	overlap_with_setting_a	0
Raloxifene	hypertension	contraindication	overlap_with_setting_a	0
Perazine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Perazine	hypertension	contraindication	overlap_with_setting_a	0
Mometasone furoate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Mometasone furoate	hypertension	contraindication	overlap_with_setting_a	0
Cetirizine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Cetirizine	hypertension	contraindication	overlap_with_setting_a	0
Fexofenadine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Fexofenadine	hypertension	contraindication	overlap_with_setting_a	0
Atomoxetine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Atomoxetine	hypertension	contraindication	overlap_with_setting_a	0
Orphenadrine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Orphenadrine	hypertension	contraindication	overlap_with_setting_a	0
Riboflavin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Riboflavin	hypertension	contraindication	overlap_with_setting_a	0
Methylprednisolone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Methylprednisolone	hypertension	contraindication	overlap_with_setting_a	0
Chlorcyclizine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Chlorcyclizine	hypertension	contraindication	overlap_with_setting_a	0
Cyclizine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Cyclizine	hypertension	contraindication	overlap_with_setting_a	0
Warfarin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Warfarin	hypertension	contraindication	overlap_with_setting_a	0
Fluticasone propionate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Fluticasone propionate	hypertension	contraindication	overlap_with_setting_a	0
Homatropine methylbromide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Homatropine methylbromide	hypertension	contraindication	overlap_with_setting_a	0
Loratadine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Loratadine	hypertension	contraindication	overlap_with_setting_a	0
Levonorgestrel	hypertensive disorder	contraindication	overlap_with_setting_a	0
Levonorgestrel	hypertension	contraindication	overlap_with_setting_a	0
Clofedanol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Clofedanol	hypertension	contraindication	overlap_with_setting_a	0
Citric acid	hypertensive disorder	contraindication	overlap_with_setting_a	0
Citric acid	hypertension	contraindication	overlap_with_setting_a	0
Tromethamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Tromethamine	hypertension	contraindication	overlap_with_setting_a	0
Procyclidine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Procyclidine	hypertension	contraindication	overlap_with_setting_a	0
Pentoxyverine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Pentoxyverine	hypertension	contraindication	overlap_with_setting_a	0
Dicyclomine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dicyclomine	hypertension	contraindication	overlap_with_setting_a	0
Nafarelin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Nafarelin	hypertension	contraindication	overlap_with_setting_a	0
Isoprenaline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Isoprenaline	hypertension	contraindication	overlap_with_setting_a	0
Potassium Iodide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Potassium Iodide	hypertension	contraindication	overlap_with_setting_a	0
Histrelin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Histrelin	hypertension	contraindication	overlap_with_setting_a	0
Pentobarbital	hypertensive disorder	contraindication	overlap_with_setting_a	0
Pentobarbital	hypertension	contraindication	overlap_with_setting_a	0
Secobarbital	hypertensive disorder	contraindication	overlap_with_setting_a	0
Secobarbital	hypertension	contraindication	overlap_with_setting_a	0
Codeine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Codeine	hypertension	contraindication	overlap_with_setting_a	0
Fluoxymesterone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Fluoxymesterone	hypertension	contraindication	overlap_with_setting_a	0
Sodium phosphate, monobasic	hypertensive disorder	contraindication	overlap_with_setting_a	0
Sodium phosphate, monobasic	hypertension	contraindication	overlap_with_setting_a	0
Isopropamide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Isopropamide	hypertension	contraindication	overlap_with_setting_a	0
Potassium chloride	hypertensive disorder	contraindication	overlap_with_setting_a	0
Potassium chloride	hypertension	contraindication	overlap_with_setting_a	0
Ketorolac	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ketorolac	hypertension	contraindication	overlap_with_setting_a	0
Formoterol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Formoterol	hypertension	contraindication	overlap_with_setting_a	0
Prilocaine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Prilocaine	hypertension	contraindication	overlap_with_setting_a	0
Mestranol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Mestranol	hypertension	contraindication	overlap_with_setting_a	0
Meloxicam	hypertensive disorder	contraindication	overlap_with_setting_a	0
Meloxicam	hypertension	contraindication	overlap_with_setting_a	0
Medroxyprogesterone acetate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Medroxyprogesterone acetate	hypertension	contraindication	overlap_with_setting_a	0
Clidinium	hypertensive disorder	contraindication	overlap_with_setting_a	0
Clidinium	hypertension	contraindication	overlap_with_setting_a	0
Didanosine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Didanosine	hypertension	contraindication	overlap_with_setting_a	0
Liothyronine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Liothyronine	hypertension	contraindication	overlap_with_setting_a	0
Modafinil	hypertensive disorder	contraindication	overlap_with_setting_a	0
Modafinil	hypertension	contraindication	overlap_with_setting_a	0
Hydroxyzine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Hydroxyzine	hypertension	contraindication	overlap_with_setting_a	0
Norethisterone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Norethisterone	hypertension	contraindication	overlap_with_setting_a	0
Sodium citrate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Sodium citrate	hypertension	contraindication	overlap_with_setting_a	0
Drospirenone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Drospirenone	hypertension	contraindication	overlap_with_setting_a	0
Echothiophate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Echothiophate	hypertension	contraindication	overlap_with_setting_a	0
Cholecalciferol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Cholecalciferol	hypertension	contraindication	overlap_with_setting_a	0
Apraclonidine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Apraclonidine	hypertension	contraindication	overlap_with_setting_a	0
Dicoumarol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dicoumarol	hypertension	contraindication	overlap_with_setting_a	0
Goserelin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Goserelin	hypertension	contraindication	overlap_with_setting_a	0
Benzoic acid	hypertensive disorder	contraindication	overlap_with_setting_a	0
Benzoic acid	hypertension	contraindication	overlap_with_setting_a	0
Salicylamide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Salicylamide	hypertension	contraindication	overlap_with_setting_a	0
Meclofenamic acid	hypertensive disorder	contraindication	overlap_with_setting_a	0
Meclofenamic acid	hypertension	contraindication	overlap_with_setting_a	0
Nilotinib	hypertensive disorder	contraindication	overlap_with_setting_a	0
Nilotinib	hypertension	contraindication	overlap_with_setting_a	0
Desonide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Desonide	hypertension	contraindication	overlap_with_setting_a	0
Phendimetrazine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Phendimetrazine	hypertension	contraindication	overlap_with_setting_a	0
Methylene blue	hypertensive disorder	contraindication	overlap_with_setting_a	0
Methylene blue	hypertension	contraindication	overlap_with_setting_a	0
Lisdexamfetamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Lisdexamfetamine	hypertension	contraindication	overlap_with_setting_a	0
Ipratropium	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ipratropium	hypertension	contraindication	overlap_with_setting_a	0
Cyclosporine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Cyclosporine	hypertension	contraindication	overlap_with_setting_a	0
Megestrol acetate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Megestrol acetate	hypertension	contraindication	overlap_with_setting_a	0
Acyclovir	hypertensive disorder	contraindication	overlap_with_setting_a	0
Acyclovir	hypertension	contraindication	overlap_with_setting_a	0
Isocarboxazid	hypertensive disorder	contraindication	overlap_with_setting_a	0
Isocarboxazid	hypertension	contraindication	overlap_with_setting_a	0
Phenylephrine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Phenylephrine	hypertension	contraindication	overlap_with_setting_a	0
Orciprenaline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Orciprenaline	hypertension	contraindication	overlap_with_setting_a	0
Theophylline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Theophylline	hypertension	contraindication	overlap_with_setting_a	0
Prochlorperazine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Prochlorperazine	hypertension	contraindication	overlap_with_setting_a	0
Chlordiazepoxide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Chlordiazepoxide	hypertension	contraindication	overlap_with_setting_a	0
Testosterone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Testosterone	hypertension	contraindication	overlap_with_setting_a	0
Testosterone cypionate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Testosterone cypionate	hypertension	contraindication	overlap_with_setting_a	0
Methyltestosterone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Methyltestosterone	hypertension	contraindication	overlap_with_setting_a	0
Caffeine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Caffeine	hypertension	contraindication	overlap_with_setting_a	0
Progesterone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Progesterone	hypertension	contraindication	overlap_with_setting_a	0
Ethinylestradiol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ethinylestradiol	hypertension	contraindication	overlap_with_setting_a	0
Meprobamate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Meprobamate	hypertension	contraindication	overlap_with_setting_a	0
Amobarbital	hypertensive disorder	contraindication	overlap_with_setting_a	0
Amobarbital	hypertension	contraindication	overlap_with_setting_a	0
Morphine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Morphine	hypertension	contraindication	overlap_with_setting_a	0
Oxybutynin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Oxybutynin	hypertension	contraindication	overlap_with_setting_a	0
Dinoprost	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dinoprost	hypertension	contraindication	overlap_with_setting_a	0
Leuprolide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Leuprolide	hypertension	contraindication	overlap_with_setting_a	0
Metamfetamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Metamfetamine	hypertension	contraindication	overlap_with_setting_a	0
Sirolimus	hypertensive disorder	contraindication	overlap_with_setting_a	0
Sirolimus	hypertension	contraindication	overlap_with_setting_a	0
Indomethacin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Indomethacin	hypertension	contraindication	overlap_with_setting_a	0
Estrone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Estrone	hypertension	contraindication	overlap_with_setting_a	0
Prednisone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Prednisone	hypertension	contraindication	overlap_with_setting_a	0
Xylometazoline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Xylometazoline	hypertension	contraindication	overlap_with_setting_a	0
Dimenhydrinate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dimenhydrinate	hypertension	contraindication	overlap_with_setting_a	0
Biperiden	hypertensive disorder	contraindication	overlap_with_setting_a	0
Biperiden	hypertension	contraindication	overlap_with_setting_a	0
Budesonide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Budesonide	hypertension	contraindication	overlap_with_setting_a	0
Cyclopentolate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Cyclopentolate	hypertension	contraindication	overlap_with_setting_a	0
Dihydroergotamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dihydroergotamine	hypertension	contraindication	overlap_with_setting_a	0
Flurbiprofen	hypertensive disorder	contraindication	overlap_with_setting_a	0
Flurbiprofen	hypertension	contraindication	overlap_with_setting_a	0
Phenelzine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Phenelzine	hypertension	contraindication	overlap_with_setting_a	0
Dextroamphetamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dextroamphetamine	hypertension	contraindication	overlap_with_setting_a	0
Levothyroxine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Levothyroxine	hypertension	contraindication	overlap_with_setting_a	0
Histamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Histamine	hypertension	contraindication	overlap_with_setting_a	0
Epinephrine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Epinephrine	hypertension	contraindication	overlap_with_setting_a	0
Norepinephrine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Norepinephrine	hypertension	contraindication	overlap_with_setting_a	0
Scopolamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Scopolamine	hypertension	contraindication	overlap_with_setting_a	0
Terfenadine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Terfenadine	hypertension	contraindication	overlap_with_setting_a	0
Sodium oxybate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Sodium oxybate	hypertension	contraindication	overlap_with_setting_a	0
Ascorbic acid	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ascorbic acid	hypertension	contraindication	overlap_with_setting_a	0
Oxytocin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Oxytocin	hypertension	contraindication	overlap_with_setting_a	0
Estradiol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Estradiol	hypertension	contraindication	overlap_with_setting_a	0
Prednisolone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Prednisolone	hypertension	contraindication	overlap_with_setting_a	0
Hydrocortisone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Hydrocortisone	hypertension	contraindication	overlap_with_setting_a	0
Ergocalciferol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ergocalciferol	hypertension	contraindication	overlap_with_setting_a	0
Phenobarbital	hypertensive disorder	contraindication	overlap_with_setting_a	0
Phenobarbital	hypertension	contraindication	overlap_with_setting_a	0
Cortisone acetate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Cortisone acetate	hypertension	contraindication	overlap_with_setting_a	0
Hydrocortisone acetate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Hydrocortisone acetate	hypertension	contraindication	overlap_with_setting_a	0
Dexamethasone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dexamethasone	hypertension	contraindication	overlap_with_setting_a	0
Carbinoxamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Carbinoxamine	hypertension	contraindication	overlap_with_setting_a	0
Triprolidine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Triprolidine	hypertension	contraindication	overlap_with_setting_a	0
Dyphylline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dyphylline	hypertension	contraindication	overlap_with_setting_a	0
Doxylamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Doxylamine	hypertension	contraindication	overlap_with_setting_a	0
Chlorphentermine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Chlorphentermine	hypertension	contraindication	overlap_with_setting_a	0
Fenfluramine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Fenfluramine	hypertension	contraindication	overlap_with_setting_a	0
Zinc gluconate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Zinc gluconate	hypertension	contraindication	overlap_with_setting_a	0
Pazopanib	hypertensive disorder	contraindication	overlap_with_setting_a	0
Pazopanib	hypertension	contraindication	overlap_with_setting_a	0
Vandetanib	hypertensive disorder	contraindication	overlap_with_setting_a	0
Vandetanib	hypertension	contraindication	overlap_with_setting_a	0
Nabumetone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Nabumetone	hypertension	contraindication	overlap_with_setting_a	0
Etodolac	hypertensive disorder	contraindication	overlap_with_setting_a	0
Etodolac	hypertension	contraindication	overlap_with_setting_a	0
Dexmethylphenidate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dexmethylphenidate	hypertension	contraindication	overlap_with_setting_a	0
Capsaicin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Capsaicin	hypertension	contraindication	overlap_with_setting_a	0
Azatadine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Azatadine	hypertension	contraindication	overlap_with_setting_a	0
Pirbuterol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Pirbuterol	hypertension	contraindication	overlap_with_setting_a	0
Bupivacaine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Bupivacaine	hypertension	contraindication	overlap_with_setting_a	0
Sulindac	hypertensive disorder	contraindication	overlap_with_setting_a	0
Sulindac	hypertension	contraindication	overlap_with_setting_a	0
Betamethasone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Betamethasone	hypertension	contraindication	overlap_with_setting_a	0
Telavancin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Telavancin	hypertension	contraindication	overlap_with_setting_a	0
Metoclopramide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Metoclopramide	hypertension	contraindication	overlap_with_setting_a	0
Piroxicam	hypertensive disorder	contraindication	overlap_with_setting_a	0
Piroxicam	hypertension	contraindication	overlap_with_setting_a	0
Dinoprostone	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dinoprostone	hypertension	contraindication	overlap_with_setting_a	0
Norgestimate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Norgestimate	hypertension	contraindication	overlap_with_setting_a	0
Bupropion	hypertensive disorder	contraindication	overlap_with_setting_a	0
Bupropion	hypertension	contraindication	overlap_with_setting_a	0
Levosalbutamol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Levosalbutamol	hypertension	contraindication	overlap_with_setting_a	0
Auranofin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Auranofin	hypertension	contraindication	overlap_with_setting_a	0
Dexfenfluramine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dexfenfluramine	hypertension	contraindication	overlap_with_setting_a	0
Levomefolic acid	hypertensive disorder	contraindication	overlap_with_setting_a	0
Levomefolic acid	hypertension	contraindication	overlap_with_setting_a	0
Testosterone enanthate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Testosterone enanthate	hypertension	contraindication	overlap_with_setting_a	0
Estradiol cypionate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Estradiol cypionate	hypertension	contraindication	overlap_with_setting_a	0
Amphetamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Amphetamine	hypertension	contraindication	overlap_with_setting_a	0
Estramustine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Estramustine	hypertension	contraindication	overlap_with_setting_a	0
Ephedrine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ephedrine	hypertension	contraindication	overlap_with_setting_a	0
Calcium gluconate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Calcium gluconate	hypertension	contraindication	overlap_with_setting_a	0
Propantheline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Propantheline	hypertension	contraindication	overlap_with_setting_a	0
Carbamazepine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Carbamazepine	hypertension	contraindication	overlap_with_setting_a	0
Fenoprofen	hypertensive disorder	contraindication	overlap_with_setting_a	0
Fenoprofen	hypertension	contraindication	overlap_with_setting_a	0
Difenoxin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Difenoxin	hypertension	contraindication	overlap_with_setting_a	0
Sorafenib	hypertensive disorder	contraindication	overlap_with_setting_a	0
Sorafenib	hypertension	contraindication	overlap_with_setting_a	0
Tramadol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Tramadol	hypertension	contraindication	overlap_with_setting_a	0
Tolmetin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Tolmetin	hypertension	contraindication	overlap_with_setting_a	0
Mepenzolate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Mepenzolate	hypertension	contraindication	overlap_with_setting_a	0
Bromocriptine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Bromocriptine	hypertension	contraindication	overlap_with_setting_a	0
Dexchlorpheniramine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Dexchlorpheniramine	hypertension	contraindication	overlap_with_setting_a	0
Polyethylene glycol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Polyethylene glycol	hypertension	contraindication	overlap_with_setting_a	0
Polyethylene glycol 400	hypertensive disorder	contraindication	overlap_with_setting_a	0
Polyethylene glycol 400	hypertension	contraindication	overlap_with_setting_a	0
Polyethylene glycol 300	hypertensive disorder	contraindication	overlap_with_setting_a	0
Polyethylene glycol 300	hypertension	contraindication	overlap_with_setting_a	0
Polyethylene glycol 3500	hypertensive disorder	contraindication	overlap_with_setting_a	0
Polyethylene glycol 3500	hypertension	contraindication	overlap_with_setting_a	0
Terbutaline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Terbutaline	hypertension	contraindication	overlap_with_setting_a	0
Fosamprenavir	hypertensive disorder	contraindication	overlap_with_setting_a	0
Fosamprenavir	hypertension	contraindication	overlap_with_setting_a	0
Diflunisal	hypertensive disorder	contraindication	overlap_with_setting_a	0
Diflunisal	hypertension	contraindication	overlap_with_setting_a	0
Mirabegron	hypertensive disorder	contraindication	overlap_with_setting_a	0
Mirabegron	hypertension	contraindication	overlap_with_setting_a	0
Naproxen	hypertensive disorder	contraindication	overlap_with_setting_a	0
Naproxen	hypertension	contraindication	overlap_with_setting_a	0
Ketoprofen	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ketoprofen	hypertension	contraindication	overlap_with_setting_a	0
Oxaprozin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Oxaprozin	hypertension	contraindication	overlap_with_setting_a	0
Bremelanotide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Bremelanotide	hypertension	contraindication	overlap_with_setting_a	0
Magnesium salicylate	hypertensive disorder	contraindication	overlap_with_setting_a	0
Magnesium salicylate	hypertension	contraindication	overlap_with_setting_a	0
Salbutamol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Salbutamol	hypertension	contraindication	overlap_with_setting_a	0
Celecoxib	hypertensive disorder	contraindication	overlap_with_setting_a	0
Celecoxib	hypertension	contraindication	overlap_with_setting_a	0
Desmopressin	hypertensive disorder	contraindication	overlap_with_setting_a	0
Desmopressin	hypertension	contraindication	overlap_with_setting_a	0
Linezolid	hypertensive disorder	contraindication	overlap_with_setting_a	0
Linezolid	hypertension	contraindication	overlap_with_setting_a	0
Amprenavir	hypertensive disorder	contraindication	overlap_with_setting_a	0
Amprenavir	hypertension	contraindication	overlap_with_setting_a	0
Frovatriptan	hypertensive disorder	contraindication	overlap_with_setting_a	0
Frovatriptan	hypertension	contraindication	overlap_with_setting_a	0
Ibuprofen	hypertensive disorder	contraindication	overlap_with_setting_a	0
Ibuprofen	hypertension	contraindication	overlap_with_setting_a	0
Clemastine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Clemastine	hypertension	contraindication	overlap_with_setting_a	0
Benzphetamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Benzphetamine	hypertension	contraindication	overlap_with_setting_a	0
Tranylcypromine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Tranylcypromine	hypertension	contraindication	overlap_with_setting_a	0
Almotriptan	hypertensive disorder	contraindication	overlap_with_setting_a	0
Almotriptan	hypertension	contraindication	overlap_with_setting_a	0
Diclofenac	hypertensive disorder	contraindication	overlap_with_setting_a	0
Diclofenac	hypertension	contraindication	overlap_with_setting_a	0
Imatinib	hypertensive disorder	contraindication	overlap_with_setting_a	0
Imatinib	hypertension	contraindication	overlap_with_setting_a	0
Quinestrol	hypertensive disorder	contraindication	overlap_with_setting_a	0
Quinestrol	hypertension	contraindication	overlap_with_setting_a	0
Tropicamide	hypertensive disorder	contraindication	overlap_with_setting_a	0
Tropicamide	hypertension	contraindication	overlap_with_setting_a	0
Oxymetazoline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Oxymetazoline	hypertension	contraindication	overlap_with_setting_a	0
Butacaine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Butacaine	hypertension	contraindication	overlap_with_setting_a	0
Phenylpropanolamine	hypertensive disorder	contraindication	overlap_with_setting_a	0
Phenylpropanolamine	hypertension	contraindication	overlap_with_setting_a	0
Diphenylpyraline	hypertensive disorder	contraindication	overlap_with_setting_a	0
Diphenylpyraline	hypertension	contraindication	overlap_with_setting_a	0
Rizatriptan	hypertensive disorder	contraindication	overlap_with_setting_a	0
